epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3437.94,0.6793,0.3736,0.90253,0.64481,0.52418,0.55603,0.34718,1.54926,2.57512,1.59006,0.000848969,0.000848969,0.000848969
43,3518.34,0.67381,0.37224,0.90289,0.6183,0.52821,0.55185,0.35051,1.53064,2.58581,1.55081,0.000834822,0.000834822,0.000834822
44,3598.57,0.66723,0.37003,0.90019,0.56448,0.52159,0.51877,0.33636,1.52735,2.56812,1.59674,0.000820675,0.000820675,0.000820675
45,3678.79,0.66536,0.36599,0.89896,0.61977,0.49203,0.53208,0.34056,1.56929,2.6738,1.58631,0.000806528,0.000806528,0.000806528
46,3759.28,0.66122,0.3653,0.89973,0.58126,0.50157,0.5252,0.33907,1.52401,2.74856,1.56407,0.00079238,0.00079238,0.00079238
47,3839.81,0.6621,0.36531,0.89888,0.58817,0.52535,0.54624,0.35202,1.5333,2.60814,1.56075,0.000778233,0.000778233,0.000778233
48,3920.33,0.6651,0.36445,0.89678,0.61403,0.52924,0.57178,0.34929,1.5651,2.64835,1.60502,0.000764086,0.000764086,0.000764086
49,4001.3,0.65702,0.36213,0.89336,0.53373,0.53732,0.53393,0.33417,1.60856,2.70928,1.64635,0.000749939,0.000749939,0.000749939
50,4082.21,0.65566,0.36171,0.89661,0.6305,0.52683,0.58356,0.36261,1.54343,2.63873,1.58718,0.000735792,0.000735792,0.000735792
51,4162.35,0.64805,0.35563,0.8941,0.67489,0.5243,0.57094,0.36624,1.52716,2.54782,1.59525,0.000721645,0.000721645,0.000721645
52,4243.2,0.65073,0.35667,0.89377,0.64035,0.49498,0.55827,0.35972,1.55708,2.73182,1.59273,0.000707498,0.000707498,0.000707498
53,4323.89,0.64194,0.35332,0.8917,0.64198,0.50648,0.56683,0.35852,1.60212,2.75302,1.63517,0.000693351,0.000693351,0.000693351
54,4404.9,0.64007,0.35132,0.88966,0.5886,0.51306,0.54589,0.34961,1.56888,2.72445,1.61212,0.000679204,0.000679204,0.000679204
55,4485.47,0.6346,0.35031,0.88827,0.60008,0.49847,0.53758,0.34766,1.571,2.68763,1.61403,0.000665057,0.000665057,0.000665057
56,4566.47,0.63667,0.35024,0.89128,0.5607,0.49072,0.52285,0.33776,1.60088,2.83163,1.64395,0.000650909,0.000650909,0.000650909
57,4646.58,0.63527,0.34868,0.88741,0.61022,0.49395,0.53565,0.33163,1.63039,2.85559,1.69275,0.000636762,0.000636762,0.000636762
58,4727.26,0.63163,0.34762,0.88711,0.57414,0.49091,0.51426,0.33225,1.63462,2.66292,1.66784,0.000622615,0.000622615,0.000622615
59,4807.52,0.62848,0.34646,0.8852,0.58833,0.51924,0.55194,0.34572,1.5653,2.59807,1.62403,0.000608468,0.000608468,0.000608468
60,4887.93,0.62843,0.34551,0.88455,0.58565,0.50255,0.52566,0.33393,1.61618,2.62589,1.65511,0.000594321,0.000594321,0.000594321
61,4968.42,0.61649,0.33977,0.88281,0.62472,0.49096,0.54198,0.35186,1.6063,2.66696,1.61578,0.000580174,0.000580174,0.000580174
62,5054.32,0.62134,0.34193,0.88503,0.60231,0.49298,0.53752,0.34615,1.59436,2.73892,1.62438,0.000566027,0.000566027,0.000566027
63,5142.68,0.62157,0.34123,0.88436,0.60207,0.49934,0.54053,0.34588,1.58719,2.75212,1.6395,0.00055188,0.00055188,0.00055188
64,5231.28,0.61516,0.33715,0.88407,0.59302,0.49355,0.53445,0.35591,1.53392,2.82434,1.59234,0.000537733,0.000537733,0.000537733
65,5320.12,0.60765,0.33374,0.87913,0.56796,0.48918,0.52107,0.33927,1.61441,2.80996,1.65627,0.000523586,0.000523586,0.000523586
66,5408.49,0.61317,0.33679,0.88153,0.60051,0.47143,0.50857,0.33116,1.60916,2.97216,1.65082,0.000509438,0.000509438,0.000509438
67,5497.04,0.60707,0.33589,0.87882,0.5785,0.47722,0.51654,0.34241,1.60812,2.93338,1.63169,0.000495291,0.000495291,0.000495291
68,5585.71,0.60339,0.33232,0.87746,0.6282,0.50243,0.55152,0.36457,1.54064,2.73362,1.57704,0.000481144,0.000481144,0.000481144
69,5674.26,0.60092,0.32969,0.87773,0.67133,0.49654,0.55828,0.36172,1.566,2.80393,1.60278,0.000466997,0.000466997,0.000466997
70,5762.84,0.60206,0.33041,0.87889,0.65985,0.4991,0.55678,0.35953,1.59173,2.80201,1.62524,0.00045285,0.00045285,0.00045285
71,5846.87,0.59768,0.32903,0.87533,0.62059,0.50465,0.54842,0.34729,1.61094,2.74455,1.63994,0.000438703,0.000438703,0.000438703
72,5924.79,0.59821,0.32924,0.87629,0.65745,0.48957,0.54635,0.34275,1.64199,2.90319,1.69691,0.000424556,0.000424556,0.000424556
73,6003.05,0.59119,0.32568,0.87318,0.60303,0.50297,0.53697,0.34704,1.60045,2.74832,1.63976,0.000410409,0.000410409,0.000410409
74,6089.12,0.59087,0.32569,0.87363,0.63553,0.51333,0.55546,0.3547,1.58544,2.6923,1.62383,0.000396262,0.000396262,0.000396262
75,6173.85,0.59448,0.32574,0.87606,0.62803,0.50218,0.54336,0.34491,1.62242,2.79635,1.65629,0.000382115,0.000382115,0.000382115
76,6250.61,0.58662,0.32239,0.87437,0.61999,0.50768,0.54075,0.34745,1.61281,2.75103,1.64644,0.000367967,0.000367967,0.000367967
77,6327.94,0.58038,0.31943,0.87263,0.59198,0.51015,0.53867,0.34447,1.60187,2.81065,1.65028,0.00035382,0.00035382,0.00035382
78,6405.06,0.57509,0.31877,0.87088,0.6081,0.52634,0.56142,0.35754,1.57699,2.7281,1.62228,0.000339673,0.000339673,0.000339673
79,6489.37,0.58018,0.31903,0.87279,0.61392,0.51609,0.55921,0.35327,1.61212,2.69578,1.63884,0.000325526,0.000325526,0.000325526
80,6576.47,0.5765,0.31697,0.87059,0.60341,0.50818,0.54502,0.34891,1.60871,2.74803,1.65746,0.000311379,0.000311379,0.000311379
81,6666.31,0.57745,0.31767,0.8702,0.62582,0.50854,0.55956,0.35404,1.63586,2.77485,1.67942,0.000297232,0.000297232,0.000297232
82,6757.18,0.56877,0.31422,0.8682,0.64364,0.5093,0.56825,0.35803,1.63097,2.74977,1.68469,0.000283085,0.000283085,0.000283085
83,6840.3,0.56906,0.31399,0.86756,0.63772,0.50176,0.54953,0.34254,1.65256,2.76633,1.69125,0.000268938,0.000268938,0.000268938
84,6923.98,0.56361,0.31101,0.86923,0.63632,0.50754,0.55351,0.34807,1.64317,2.78515,1.67889,0.000254791,0.000254791,0.000254791
85,7008.14,0.56259,0.31097,0.86585,0.6595,0.51863,0.57207,0.36283,1.6113,2.7363,1.64824,0.000240644,0.000240644,0.000240644
86,7093.04,0.56265,0.31028,0.86638,0.66242,0.49052,0.55825,0.35463,1.6121,2.88907,1.65402,0.000226497,0.000226497,0.000226497
87,7172.83,0.55804,0.30782,0.86687,0.62166,0.52738,0.56881,0.35995,1.58462,2.66243,1.62613,0.000212349,0.000212349,0.000212349
88,7253.21,0.5615,0.30955,0.865,0.65608,0.50897,0.56499,0.35652,1.61488,2.76341,1.66554,0.000198202,0.000198202,0.000198202
89,7333.34,0.55452,0.30677,0.86267,0.64637,0.51473,0.56718,0.35484,1.61165,2.75494,1.67202,0.000184055,0.000184055,0.000184055
90,7413,0.54876,0.30486,0.86256,0.66134,0.50277,0.55955,0.3527,1.62778,2.75432,1.66997,0.000169908,0.000169908,0.000169908
91,7546.53,0.52609,0.28244,0.8461,0.63525,0.50534,0.55758,0.35031,1.63265,2.73188,1.68103,0.000155761,0.000155761,0.000155761
92,7624.34,0.50998,0.27506,0.84409,0.64436,0.5193,0.57001,0.35903,1.63742,2.74842,1.68398,0.000141614,0.000141614,0.000141614
93,7702.39,0.50968,0.27395,0.8448,0.67161,0.52955,0.59008,0.37627,1.5969,2.71469,1.6356,0.000127467,0.000127467,0.000127467
94,7779.91,0.50336,0.27116,0.84346,0.64488,0.50903,0.56639,0.35857,1.62279,2.78615,1.66104,0.00011332,0.00011332,0.00011332
95,7857.6,0.49942,0.26989,0.84171,0.66875,0.51038,0.57651,0.36327,1.63224,2.79766,1.66824,9.91726e-05,9.91726e-05,9.91726e-05
96,7935.52,0.49773,0.26952,0.84082,0.66675,0.51681,0.58049,0.36646,1.62419,2.76236,1.67358,8.50255e-05,8.50255e-05,8.50255e-05
97,8013.39,0.49481,0.26714,0.84033,0.67873,0.52302,0.58769,0.37135,1.61584,2.73908,1.66333,7.08784e-05,7.08784e-05,7.08784e-05
98,8091.28,0.49238,0.26711,0.83757,0.68305,0.51132,0.58181,0.36874,1.63348,2.75427,1.6661,5.67313e-05,5.67313e-05,5.67313e-05
99,8169.21,0.48717,0.26426,0.83896,0.67521,0.51261,0.57982,0.36735,1.62259,2.74756,1.66739,4.25842e-05,4.25842e-05,4.25842e-05
100,8246.67,0.48651,0.26396,0.83707,0.65958,0.5099,0.57293,0.36377,1.62634,2.79639,1.66915,2.84371e-05,2.84371e-05,2.84371e-05
