epoch,train_loss,val_loss,learning_rate
1,6.7705355538483944,5.999636544121636,5e-06
2,3.3876053119803076,5.783116499582927,5e-06
3,3.0422312774418785,5.871814632415772,5e-06
4,2.8531895781161896,6.008603100246853,2.5e-06
5,2.721616976430725,6.141366934246487,2.5e-06
